26,6
25,6
26,6
26,7
27,6
28,5
28,7
29,6
29,5
29,5
28,5
28,5
24,4
23,4
23,4
25,7
27,5
27,5
29,4
29,5
30,4
30,4
29,4
28,5
27,5
28,5
28,5
28,5
28,5
27,5
28,5
28,5
28,6
25,8
25,10
27,12
28,6
28,6
29,7
29,8
29,9
30,8
28,6
26,6
28,7
29,8
30,7
30,8
30,7
30,7
31,7
30,8
30,10
31,5
30,9
31,9
31,7
31,8
30,6
31,8
31,9
32,9
33,9
31,8
31,8
30,8
31,8
29,8
27,7
28,7
30,8
30,8
29,8
27,7
28,7
29,8
29,8
30,8
31,10
31,10
31,10
32,10
32,10
32,10
31,11
33,11
34,12
34,11
33,10
32,10
30,8
31,8
32,9
32,10
32,11
32,13
33,10
33,12
33,13
35,14
35,14
32,14
32,14
34,14
35,14
29,12
28,12
31,12
32,12
32,13
32,13
32,13
32,13
31,12
33,12
34,12
34,12
34,12
33,12
32,15
34,14
34,16
29,11
29,14
32,12
31,11
33,14
36,13
34,14
35,14
34,14
34,14
35,13
35,14
34,14
34,15
34,14
35,14
34,14
33,15
36,15
35,15
36,16
37,16
37,17
36,17
36,16
36,15
34,16
33,15
30,13
31,13
32,14
32,14
31,15
32,14
32,16
34,15
33,16
34,14
32,14
32,16
31,16
32,17
33,17
35,17
33,15
32,15
33,17
22,16
18,16
28,16
30,15
28,16
29,15
25,15
26,16
26,15
28,16
23,16
23,16
23,15
22,15
26,14
27,15
27,15
26,13
27,13
27,15
26,15
25,16
26,15
26,15
26,16
27,15
22,16
25,15
26,15
24,16
28,13
29,14
28,13
28,13
27,15
25,15
27,14
26,14
25,17
26,14
26,14
27,14
25,14
28,13
27,13
29,14
29,14
28,14
28,13
28,13
28,15
28,16
30,15
29,15
28,15
26,13
26,13
28,14
29,13
29,14
28,14
29,15
28,16
25,16
27,15
28,14
28,14
26,14
26,16
27,14
25,14
21,15
24,15
25,16
27,15
21,13
24,15
25,12
24,11
26,8
24,6
26,6
26,7
26,15
27,13
28,13
29,13
28,14
28,14
28,14
28,12
28,12
27,12
28,12
29,12
26,15
27,15
29,14
29,14
30,13
29,13
29,12
28,12
26,13
27,12
28,12
28,12
29,14
29,14
25,13
